ID,pName,tradePrice,actualPrice,salePrice,brand,productLine,rating,technicalDetail,url
000044, Tecno Camon 20 Pro ,4550000,5490000,5050000,Tecno,,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.67 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz\nMàn chắn nắng HBM'}, {'title': 'Loại màn hình', 'value': 'Màn hình'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 64 MP, f/1.7, 25mm, 1/1.7"", 0.8µm, PDAF\nMáy ảnh đo chiều sâu: 2 MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED vòng, toàn cảnh, HDR'}, {'title': 'Quay video', 'value': '1080p@30fps'}, {'title': 'Camera trước', 'value': 'Camera góc rộng: 32 MP, f/2.5, 24mm, 1/2.8"", 0.8µm'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '256 GB'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 13'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Không'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kim loại'}, {'title': 'Chất liệu khung viền', 'value': 'Kim loại'}, {'title': 'Kích thước', 'value': '163.4 x 76.7 x 8.2 mm'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 33W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000 mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế'}, {'title': 'Công nghệ - Tiện ích', 'value': 'Thư viện AL v5.0\nMàn hình luôn hiển thị'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa âm thanh nổi'}]",https://cellphones.com.vn/tecno-camon-20-pro.html
000045, Samsung Galaxy A54 5G 8GB 128GB ,8990000,10490000,9490000,Samsung,Galaxy A,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.4 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz, 1000 nits'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 50 MP, f/1.8, PDAF, OIS\nCamera góc siêu rộng: 12MP, f/2.2, 123˚, 1.12µm\nCamera macro: 5MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED, toàn cảnh, HDR'}, {'title': 'Quay video', 'value': '4K@30fps, 1080p@30/60fps; gyro-EIS'}, {'title': 'Camera trước', 'value': 'Camera góc rộng: 32 MP, f/2.2, 26mm, 1/2.8"", 0.8µm'}, {'title': 'Quay video trước', 'value': '4K@30fps, 1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'microSDXC'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 13'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'GPS', 'value': 'GPS, GLONASS, GALILEO, BDS'}, {'title': 'Bluetooth', 'value': 'v5.2'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 25W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP67'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Chipset', 'value': 'Exynos 1380 (5 nm)'}, {'title': 'Loại CPU', 'value': '4x2.4 GHz Cortex-A78 & 4x2.0 GHz Cortex-A55'}, {'title': 'GPU', 'value': 'Mali-G68 MP5'}]",https://cellphones.com.vn/samsung-galaxy-a54.html
000046, Xiaomi Redmi 12C 4GB 64GB ,2090000,3590000,2590000,,,5.0/5,[],https://cellphones.com.vn/xiaomi-redmi-12c.html
000047, OPPO Find N2 Flip ,18990000,,19990000,OPPO,Find Series,,"[{'title': 'Kích thước màn hình', 'value': '6.8 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2520 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Có thể gập lại\nMàn hình chính: FHD+ (2520×1080), 120Hz, 16,7 triệu màu, 403 PPI, 1200nit, AMOLED, Kính siêu mỏng UTG\nMàn hình phụ: 720×382, 30/60Hz, 250 PPI, 800nit, Corning Gorilla Glass 5'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 50MP, f/1.8, 23mm, PDAF\nCamera góc siêu rộng 8MP, f/2.2, 112˚'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED, HDR, toàn cảnh'}, {'title': 'Quay video', 'value': '4K@30/60fps, 1080p@30/60/240fps'}, {'title': 'Camera trước', 'value': 'Camera góc rộng: 32MP, f/2.4, 22mm, AF'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '256 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 13'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac/6'}, {'title': 'GPS', 'value': 'GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5)'}, {'title': 'Bluetooth', 'value': 'v5.3'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 44W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '4300 mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Chipset', 'value': 'MediaTek 9000+ (4nm)'}, {'title': 'Loại CPU', 'value': '1x3.20 GHz Cortex-X2 & 3x3.20 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510'}, {'title': 'GPU', 'value': 'Mali-G710 MC10'}, {'title': 'Kích thước', 'value': 'Khi mở: 166,2 x 75,2 x 7,5 mm\nKhi gập: 85,5 x 75,2 x 16 mm'}, {'title': 'Trọng lượng', 'value': '191 g'}]",https://cellphones.com.vn/oppo-find-n2-flip.html
000048, ASUS ROG Phone 6 12GB 256GB ,13890000,18990000,14890000,Điện thoại cấu hình cao,,,"[{'title': 'Kích thước màn hình', 'value': '6.78 inches'}, {'title': 'Công nghệ màn hình', 'value': 'AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2448 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Corning ® Gorilla ® Glass Victus, 165Hz, Độ sáng tối đa: 1200 nits, Mật độ điểm ảnh: 395 ppi'}, {'title': 'Camera sau', 'value': 'Camera chính: 50 MP, f/1.9\nCamera góc siêu rộng: 13 MP\nCamera macro: 5 MP'}, {'title': 'Tính năng camera', 'value': 'Flash LED, HDR, Trôi nhanh thời gian (Time Lapse), Quay chậm (Slow Motion)'}, {'title': 'Quay video', 'value': '8K@24fps , 4K@30/60fps'}, {'title': 'Camera trước', 'value': '12 MP'}, {'title': 'Quay video trước', 'value': '1080p@30/60fps, 720p@30/60 fps'}, {'title': 'Dung lượng RAM', 'value': '12 GB'}, {'title': 'Bộ nhớ trong', 'value': '256 GB'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'WiFi 6E * (802.11a / b / g / n / ac / ax, 2x2 MIMO)'}, {'title': 'GPS', 'value': 'Có, Glonass, Galileo, BeiDou, QZSS và NavIC'}, {'title': 'Bluetooth', 'value': 'v5.2'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Kích thước', 'value': '173 x 77x 10,4 mm'}, {'title': 'Trọng lượng', 'value': '239g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 5.0\nSạc PD\nSạc 65W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '6000 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IPX4'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}]",https://cellphones.com.vn/asus-rog-phone-6-12gb-256gb.html
000049, Samsung Galaxy A53 (5G) ,8090000,9990000,8590000,Samsung,Galaxy A,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.5 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 120Hz, HDR10+, 800 nits, Always-on display\nKính cường lực Corning Gorilla Glass 5'}, {'title': 'Tần số quét', 'value': '120Hz'}, {'title': 'Kiểu màn hình', 'value': 'Đục lỗ (Nốt ruồi)'}, {'title': 'Camera sau', 'value': 'Camera chính góc rộng: 64 MP, f/1.8, PDAF, OIS\nCamera góc siêu rộng: 12 MP, f/2.2, 123˚\nCamera macro: 5 MP, f/2.4\nCảm biến độ sâu: 5 MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Chống rung quang học (OIS)\nGóc rộng (Wide)\nGóc siêu rộng (Ultrawide)\nHDR\nSiêu cận (Macro)\nToàn cảnh (Panorama)'}, {'title': 'Quay video', 'value': '4K@30fps, 1080p@30/60fps; gyro-EIS'}, {'title': 'Camera trước', 'value': '32 MP, f/2.2'}, {'title': 'Quay video trước', 'value': '4K@30fps, 1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'MicroSD, hỗ trợ tối đa 1 TB'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Không'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi 802.11 a/b/g/n/ac, dual-band, Wi-Fi Direct, hotspot'}, {'title': 'GPS', 'value': 'GLONASS, GPS, GALILEO, BEIDOU'}, {'title': 'Bluetooth', 'value': 'v5.1'}, {'title': 'Chất liệu mặt lưng', 'value': 'Nhựa'}, {'title': 'Chất liệu khung viền', 'value': 'Nhựa'}, {'title': 'Kích thước', 'value': '159.6 x 74.8 x 8.1 mm'}, {'title': 'Trọng lượng', 'value': '189 g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 25W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000 mAh'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'IP67'}, {'title': 'Tiện ích khác', 'value': 'Chế độ đơn giản (Giao diện đơn giản)\nTrợ lý ảo Samsung Bixby\nTối ưu game (Game Booster)\nChế độ trẻ em (Samsung Kids)\nMàn hình luôn hiển thị AOD\nKhông gian thứ hai (Thư mục bảo mật)\nỨng dụng kép (Dual Messenger)'}, {'title': 'Công nghệ âm thanh', 'value': 'Âm thanh Dolby Atmos'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, La bàn, Con quay hồi chuyển'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi'}]",https://cellphones.com.vn/samsung-galaxy-a53.html
000050, Samsung Galaxy A14 5G ,3990000,5190000,4490000,Samsung,Galaxy A,,"[{'title': 'Kích thước màn hình', 'value': '6.6 inches'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2408 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 90Hz'}, {'title': 'Tần số quét', 'value': '90Hz'}, {'title': 'Kiểu màn hình', 'value': 'Giọt nước'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 50MP, f/1.8, 26mm, PDAF\nCamera macro: 2MP, f/2.4\nCamera đo độ sâu: 2MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED, toàn cảnh, HDR'}, {'title': 'Quay video', 'value': '1080p@30fps'}, {'title': 'Camera trước', 'value': '13MP'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'microSDXC'}, {'title': 'Thẻ SIM', 'value': 'Nano-SIM'}, {'title': 'Hệ điều hành', 'value': 'Android 13'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'GPS', 'value': 'GPS, GLONASS, GALILEO'}, {'title': 'Bluetooth', 'value': 'v5.0'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 15W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5.000 mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt'}, {'title': 'Tiện ích khác', 'value': 'Tích hợp thêm giao diện One UI 5.0 tiện lợi, hệ thống loa với âm thành vòm Dolby Atmos'}, {'title': 'Chipset', 'value': 'MediaTek Dimensity 700'}, {'title': 'Loại CPU', 'value': 'Octa-core 2.2 GHz'}, {'title': 'GPU', 'value': 'SM-A146B - 2x2.4 GHz & 6x2.0 GHz\nSM-A146P - 2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55'}]",https://cellphones.com.vn/samsung-galaxy-a14.html
000051, realme 9 Pro Plus ,5090000,6990000,5590000,realme,,,"[{'title': 'Kích thước màn hình', 'value': '6.4 inches'}, {'title': 'Công nghệ màn hình', 'value': 'Super AMOLED'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2400 pixels (FullHD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 90Hz, Corning® Gorilla® Glass 5'}, {'title': 'Camera sau', 'value': 'Camera chính: 50MP, f/1.8\nCamera macro: 2MP, f/2.4\nCamera góc rộng: 8MP, 119°, f/2.2'}, {'title': 'Tính năng camera', 'value': 'Chụp chống rung, chụp đêm, toàn cảnh, chuyên gia, tua nhanh thời gian, chân dung, HDR, góc rộng, chụp macro, nhận dạng cảnh AI, làm đẹp AI, bộ lọc màu, tăng sống động, chụp chậm, hiệu ứng Bokeh, phim, video kép, quét lấy dữ liệu, bầu trời, mô hình, chụp đ'}, {'title': 'Quay video', 'value': 'FullHD 1080p@60fps\nFullHD 1080p@30fps\n4K 2160p@30fps\nHD 720p@30fps\nHD 720p@60fps'}, {'title': 'Camera trước', 'value': '16MP, f/2.4'}, {'title': 'Quay video trước', 'value': 'Mặc định 720P/30fps\nHỗ trợ 1080P/30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Không'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'UI 3.0, Android 12'}, {'title': 'Hồng ngoại', 'value': 'Không'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi 6 (IEEE802.11 a/b/g/n/ac/ax)'}, {'title': 'GPS', 'value': 'GPS/AGPS、Beidou、Glonass'}, {'title': 'Bluetooth', 'value': '5.2'}, {'title': 'Chất liệu mặt lưng', 'value': 'Kính'}, {'title': 'Chất liệu khung viền', 'value': 'Nhựa'}, {'title': 'Kích thước', 'value': '160.2 x 73.3 x 7.99mm'}, {'title': 'Trọng lượng', 'value': '182g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh SuperDart 60W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '4500mAh'}, {'title': 'Hệ thống làm mát', 'value': 'Hệ thống làm mát 5 lớp'}, {'title': 'Chỉ số kháng nước, bụi', 'value': 'Không'}, {'title': 'Tiện ích khác', 'value': 'Công nghệ Linear tăng tốc phần mềm X-axis\nKhoá ứng dụng\nĐa cửa sổ (chia đôi màn hình)\nMàn hình luôn hiển thị AOD\nChạm 2 lần sáng màn hình'}, {'title': 'Công nghệ âm thanh', 'value': 'Loa âm thanh kép Dolby Atmos'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay trong màn hình'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, Con quay hồi chuyển'}]",https://cellphones.com.vn/realme-9-pro-plus.html
000052, Tecno Spark 10 Pro 8GB 128GB ,3150000,3990000,3650000,Tecno,,5.0/5,"[{'title': 'Kích thước màn hình', 'value': '6.78 inches'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Độ phân giải màn hình', 'value': '2460x1080 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Tốc độ làm tươi 90Hz, 580 nit'}, {'title': 'Camera sau', 'value': '50MP'}, {'title': 'Tính năng camera', 'value': 'Đèn flash, HDR, Quay video Time Lapse 2k, chế độ làm đẹp, chế độ chụp đêm, quay phim chế độ chuyên nghiệp, Chụp AR, video chân dung, lấy nét thông minh,'}, {'title': 'Camera trước', 'value': '32MP'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'Có hỗ trợ'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android™ T'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '2.4G/5G'}, {'title': 'GPS', 'value': 'GPS+GLONASS+Beidou+Galileo'}, {'title': 'Bluetooth', 'value': '5.3'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 18W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến trọng lực'}, {'title': 'Chipset', 'value': 'Helio G88'}, {'title': 'GPU', 'value': 'Mali-G57 MC2'}, {'title': 'Kích thước', 'value': '168.41 x 76.21 x 8.46mm'}, {'title': 'Trọng lượng', 'value': '191 g'}]",https://cellphones.com.vn/tecno-spark-10-pro.html
000053, Samsung Galaxy A23 5G ,4390000,5990000,4890000,Samsung,Galaxy A,,"[{'title': 'Kích thước màn hình', 'value': '6.6 inches'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Độ phân giải màn hình', 'value': '1080 x 2408 pixels'}, {'title': 'Tính năng màn hình', 'value': 'Kính cường lực Corning Gorilla Glass 5, Tần số quét 120 Hz'}, {'title': 'Tần số quét', 'value': '90Hz'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 50 MP, f/1.8, PDAF, OIS\nCamera góc siêu rộng: 5 MP, f/2.2\nCamera macro: 2 MP, f/2.4\nCamera góc sâu: 2 MP, f/2.4'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED, ảnh toàn cảnh, HDR, Chuyên nghiệp (Pro), Tự động lấy nét (AF), Nhãn dán (AR Stickers)'}, {'title': 'Quay video', 'value': '1080p@30fps'}, {'title': 'Camera trước', 'value': 'Camera góc rộng: 8 MP, f/2.2'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '4 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'microSDXC'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 12, One UI 4.1'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '5G'}, {'title': 'Wi-Fi', 'value': 'Wi-Fi 802.11 a / b / g / n / ac, băng tần kép, Wi-Fi Direct, điểm phát sóng'}, {'title': 'GPS', 'value': 'Có, với A-GPS, GLONASS, GALILEO, BDS'}, {'title': 'Bluetooth', 'value': 'v5.1, A2DP, LE'}, {'title': 'Chất liệu mặt lưng', 'value': 'Nhựa'}, {'title': 'Chất liệu khung viền', 'value': 'Nhựa'}, {'title': 'Kích thước', 'value': '165,4 x 76,9 x 8,4 mm'}, {'title': 'Trọng lượng', 'value': '197 g'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 25W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000 mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Con quay hồi chuyển, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt'}, {'title': 'Tiện ích khác', 'value': 'Chế độ đơn giản (Giao diện đơn giản)\nChạm 2 lần tắt/sáng màn hình\nChặn cuộc gọi\nChặn tin nhắn\nSamsung Pay\nTrợ lý ảo Google Assistant\nĐa cửa sổ (chia đôi màn hình)\nTối ưu game (Game Booster)'}, {'title': 'Công nghệ âm thanh', 'value': 'Âm thanh Dolby Atmos'}]",https://cellphones.com.vn/samsung-galaxy-a23-5g.html
000054, Tecno Spark 10 8GB 128GB  ,2590000,3590000,3090000,Tecno,,,"[{'title': 'Kích thước màn hình', 'value': '6.56 inches'}, {'title': 'Công nghệ màn hình', 'value': 'IPS LCD'}, {'title': 'Độ phân giải màn hình', 'value': '720 x 1612 (HD+)'}, {'title': 'Tính năng màn hình', 'value': 'Tần số quét 90Hz'}, {'title': 'Tần số quét', 'value': '90Hz'}, {'title': 'Camera sau', 'value': 'Camera góc rộng: 50 MP, 0.7µm, PDAF\nCamera đo chiều sâu: 0.08 MP'}, {'title': 'Tính năng camera', 'value': 'Đèn flash LED kép, HDR, toàn cảnh'}, {'title': 'Quay video', 'value': '1080p@30fps'}, {'title': 'Camera trước', 'value': '8 MP'}, {'title': 'Quay video trước', 'value': '1080p@30fps'}, {'title': 'Dung lượng RAM', 'value': '8 GB'}, {'title': 'Bộ nhớ trong', 'value': '128 GB'}, {'title': 'Khe cắm thẻ nhớ', 'value': 'microSDXC'}, {'title': 'Thẻ SIM', 'value': '2 SIM (Nano-SIM)'}, {'title': 'Hệ điều hành', 'value': 'Android 13'}, {'title': 'Jack tai nghe 3.5', 'value': 'Có'}, {'title': 'Công nghệ NFC', 'value': 'Có'}, {'title': 'Hỗ trợ mạng', 'value': '4G'}, {'title': 'Wi-Fi', 'value': '802.11 a/b/g/n/ac'}, {'title': 'Chất liệu mặt lưng', 'value': 'Nhựa'}, {'title': 'Chất liệu khung viền', 'value': 'Nhựa'}, {'title': 'Kích thước', 'value': '163.9 x 75.4 x 8.4 mm'}, {'title': 'Công nghệ sạc', 'value': 'Sạc nhanh 18W'}, {'title': 'Cổng sạc', 'value': 'USB Type-C'}, {'title': 'Pin', 'value': '5000mAh'}, {'title': 'Cảm biến vân tay', 'value': 'Cảm biến vân tay cạnh bên'}, {'title': 'Các loại cảm biến', 'value': 'Cảm biến gia tốc, Cảm biến tiệm cận, La bàn, Cảm biến áp kế'}, {'title': 'Tính năng đặc biệt', 'value': 'Bảo mật vân tay, Nhận diện khuôn mặt'}, {'title': 'Thời điểm ra mắt', 'value': '03/2023'}]",https://cellphones.com.vn/tecno-spark-10.html
